id,nombre,sha_1,sha_2,sha_3,sha_4,sha_5,sha_6,sha_7,sha_8,sha_9,sha_10,sha_11,sha_12,dec_1,dec_2,dec_3,dec_4,dec_5,dec_6,dec_7,dec_8,dec_9,dec_10,dec_11,dec_12
11,Polaris,313.300,313.513,313.737,313.928,313.988,313.903,313.710,313.445,313.167,312.928,312.768,312.738,89.378,89.380,89.380,89.378,89.375,89.373,89.372,89.370,89.372,89.373,89.377,89.380
12,Hamal,327.835,327.837,327.838,327.840,327.838,327.837,327.833,327.828,327.825,327.822,327.820,327.818,23.588,23.587,23.587,23.587,23.585,23.585,23.587,23.588,23.590,23.592,23.592,23.592
13,Acamar,315.182,315.183,315.187,315.188,315.190,315.188,315.185,315.180,315.177,315.172,315.170,315.170,-40.203,-40.203,-40.203,-40.202,-40.200,-40.197,-40.195,-40.193,-40.192,-40.193,-40.195,-40.197
14,Menkar,314.085,314.087,314.088,314.088,314.090,314.088,314.085,314.080,314.077,314.073,314.072,314.070,4.192,4.192,4.192,4.192,4.192,4.193,4.195,4.195,4.197,4.197,4.197,4.197
15,Algol,312.527,312.528,312.532,312.533,312.533,312.532,312.527,312.522,312.517,312.513,312.510,312.508,40.992,40.992,40.992,40.992,40.990,40.988,40.988,40.990,40.990,40.992,40.993,40.995
16,Mirfak,308.445,308.447,308.450,308.453,308.453,308.452,308.447,308.442,308.437,308.432,308.427,308.425,49.957,49.957,49.957,49.957,49.955,49.953,49.953,49.953,49.953,49.955,49.957,49.958
17,Alcyone,302.735,302.737,302.738,302.740,302.740,302.740,302.737,302.732,302.728,302.725,302.722,302.718,24.187,24.187,24.187,24.187,24.185,24.185,24.185,24.187,24.188,24.188,24.190,24.190
18,Zaurak,300.183,300.183,300.187,300.188,300.188,300.188,300.185,300.182,300.178,300.175,300.172,300.170,-13.435,-13.437,-13.437,-13.437,-13.435,-13.433,-13.432,-13.430,-13.428,-13.428,-13.430,-13.432
19,Aldebaran,290.640,290.640,290.642,290.643,290.645,290.645,290.642,290.638,290.635,290.630,290.627,290.625,16.562,16.562,16.562,16.562,16.562,16.562,16.562,16.563,16.563,16.563,16.565,16.565
20,Rigel,281.047,281.047,281.048,281.050,281.052,281.052,281.050,281.047,281.043,281.040,281.037,281.033,-8.172,-8.172,-8.173,-8.173,-8.173,-8.172,-8.170,-8.168,-8.168,-8.167,-8.168,-8.170
21,Capella,280.337,280.337,280.340,280.343,280.345,280.345,280.342,280.338,280.333,280.327,280.322,280.318,46.025,46.027,46.027,46.027,46.025,46.025,46.023,46.023,46.022,46.023,46.023,46.025
22,Bellatrix,278.362,278.362,278.363,278.365,278.367,278.367,278.365,278.362,278.358,278.355,278.350,278.348,6.373,6.373,6.372,6.372,6.372,6.373,6.373,6.375,6.375,6.375,6.375,6.375
23,Elnath,278.008,278.008,278.010,278.012,278.013,278.013,278.012,278.008,278.003,278.000,277.995,277.992,28.630,28.630,28.630,28.630,28.630,28.630,28.628,28.628,28.630,28.630,28.630,28.630
24,Mintaka,276.658,276.658,276.660,276.663,276.665,276.665,276.663,276.660,276.657,276.653,276.648,276.647,-0.280,-0.282,-0.282,-0.282,-0.282,-0.280,-0.278,-0.278,-0.277,-0.277,-0.277,-0.278
25,Alnilam,275.610,275.610,275.612,275.613,275.615,275.615,275.613,275.610,275.607,275.603,275.600,275.597,-1.185,-1.185,-1.187,-1.187,-1.187,-1.185,-1.185,-1.185,-1.182,-1.182,-1.183,-1.183
26,Alnitak,274.475,274.475,274.477,274.478,274.480,274.480,274.478,274.477,274.473,274.470,274.465,274.463,-1.928,-1.930,-1.930,-1.930,-1.930,-1.930,-1.928,-1.927,-1.927,-1.925,-1.925,-1.928
27,Saiph,272.745,272.745,272.747,272.750,272.752,272.752,272.750,272.747,272.743,272.740,272.737,272.733,-9.660,-9.660,-9.662,-9.663,-9.662,-9.662,-9.660,-9.658,-9.657,-9.657,-9.658,-9.658
28,Betelgeuse,270.848,270.847,270.848,270.852,270.853,270.853,270.852,270.848,270.845,270.842,270.838,270.835,7.412,7.412,7.410,7.410,7.412,7.412,7.412,7.413,7.413,7.413,7.413,7.412
29,Menkalinan,269.630,269.630,269.632,269.635,269.638,269.638,269.637,269.633,269.628,269.623,269.617,269.613,44.950,44.952,44.952,44.952,44.952,44.950,44.948,44.948,44.948,44.947,44.948,44.948
30,Mirzam,264.032,264.032,264.033,264.035,264.037,264.038,264.037,264.035,264.032,264.028,264.025,264.022,-17.968,-17.970,-17.972,-17.972,-17.972,-17.970,-17.968,-17.967,-17.965,-17.965,-17.967,-17.968
31,Canopus,263.858,263.858,263.862,263.867,263.870,263.873,263.873,263.872,263.867,263.862,263.857,263.853,-52.710,-52.712,-52.713,-52.713,-52.713,-52.712,-52.708,-52.707,-52.703,-52.703,-52.705,-52.707
32,Alhena,260.188,260.188,260.188,260.192,260.193,260.193,260.193,260.190,260.187,260.183,260.178,260.175,16.377,16.377,16.377,16.377,16.377,16.377,16.377,16.377,16.377,16.377,16.377,16.375
33,Sirius,258.420,258.420,258.420,258.423,258.425,258.427,258.425,258.423,258.420,258.417,258.413,258.410,-16.752,-16.753,-16.755,-16.755,-16.755,-16.753,-16.752,-16.750,-16.748,-16.748,-16.750,-16.752
34,Adhara,255.080,255.080,255.082,255.085,255.087,255.088,255.088,255.087,255.083,255.080,255.075,255.072,-29.007,-29.010,-29.012,-29.012,-29.012,-29.010,-29.008,-29.005,-29.003,-29.003,-29.005,-29.007
35,Wezen,252.630,252.630,252.632,252.633,252.637,252.638,252.637,252.637,252.633,252.630,252.625,252.622,-26.433,-26.437,-26.438,-26.438,-26.438,-26.437,-26.435,-26.433,-26.432,-26.432,-26.432,-26.433
36,Aludra,248.712,248.712,248.712,248.715,248.717,248.718,248.718,248.718,248.715,248.712,248.707,248.703,-29.353,-29.355,-29.357,-29.358,-29.357,-29.357,-29.355,-29.353,-29.352,-29.350,-29.352,-29.353
37,Castor,245.927,245.925,245.927,245.928,245.930,245.932,245.932,245.930,245.927,245.922,245.918,245.913,31.830,31.830,31.832,31.832,31.832,31.832,31.830,31.830,31.830,31.828,31.828,31.827
